date,time_kst,분류,항목,금일(원/kg),전일(원/kg)
2025-10-17,14:27,생계,대,1890,1890
2025-10-17,14:27,생계,중,1990,1990
2025-10-17,14:27,생계,소,2090,2090
2025-10-18,11:23,육계(공장도가),9~10호,3462,3462
2025-10-18,11:23,육계(공장도가),11호,3326,3326
2025-10-18,11:23,육계(공장도가),12호,3089,3089
2025-10-18,11:23,생계,대,1890,1890
2025-10-18,11:23,생계,중,1990,1990
2025-10-18,11:23,생계,소,2090,2090
2025-10-18,14:26,육계(공장도가),9~10호,3462,3462
2025-10-18,14:26,육계(공장도가),11호,3326,3326
2025-10-18,14:26,육계(공장도가),12호,3089,3089
2025-10-18,14:26,생계,대,1890,1890
2025-10-18,14:26,생계,중,1990,1990
2025-10-18,14:26,생계,소,2090,2090
2025-10-19,11:51,육계(공장도가),9~10호,3462,3462
2025-10-19,11:51,육계(공장도가),11호,3326,3326
2025-10-19,11:51,육계(공장도가),12호,3089,3089
2025-10-19,11:51,생계,대,1890,1890
2025-10-19,11:51,생계,중,1990,1990
2025-10-19,11:51,생계,소,2090,2090
